domain	intent	golden_queries
WEATHER	weather_default	['Whats the weather', 'Whats the weather in Victoria British Columbia this week', 'Whats the forecast today', 'Is there any rain tomorrow']
WEBNAVIGATION	navigate_web	['Hotmail sign in', 'Gmail sign in', 'Yahoo sign in', 'Open facebookcom']
OTHER	other	['where is mail', 'I cant open my mail', 'windows update', 'What day is tomorrow', 'What day of the week is it', 'Hello what date is it', 'Seahawks schedule', 'Record song', 'Remember song', 'Lyrics of hello sing', 'Whats going on', 'I dont know how to work this', 'Whos listening', 'Send feedback', 'Launch phone', 'Download Songza', 'Install update', '22', 'hi', 'hey cortana', 'shut up']
OTHERSKILL	otherskill_default	['Translate Hi to Chinese', 'hire a taxi']
FEEDBACK	feedback_other	[]
FEEDBACK	submit_feedback	['send feedback on reminders', 'youre a failure', 'what s wrong with you', 'I have a problem with my alarms', 'I hate you']
NOTIFICATION	turn_off_notification	['turn off cortana reminders', 'switch off cortana notifications', 'mute my cortana notifications', 'dont read my reminders']
NOTIFICATION	turn_on_notification	['switch on my notification', 'turn on cortana reminders']
MOMENTS	moments_other	[]
MOMENTS	general_update	['Whats daily update', 'Give me the update for today']
MOMENTS	night_update	['good night']
MOMENTS	evening_update	['good evening', 'whats my evening update']
MOMENTS	morning_update	['good morning', 'can i have my morning update']
TEAMS	teamspace_favorite	['Favorite voice skills channel', 'Bookmark Intelligent Communications team', 'Add voice skills channel to favorites', 'Add voice skills channel to my bookmarks']
TEAMS	teamspace_follow	['Follow voice skills channel', 'Add voice skills to my followed list']
TEAMS	teamspace_addtoteam	['Add Anna Green to the Event hub teamgroup']
TEAMS	teamspace_search	['Search voice skills tap program', 'Show results for voice skills tap program', 'Find me everything about voice skills tap program', 'Look for voice skills tap program']
TEAMS	teamspace_navigate	['Navigate toGo toViewAccessShow channel voice skills', 'Navigate toGo toViewAccessShow Intelligent communication team ']
TEAMS	teamcalendar_navigate	[]
TEAMS	file_navigate	['Show me my recent files', 'Navigate to my recent files', 'Show me my PPTExcelWord files']
TEAMS	file_open	['Open file LT review discussion', 'Open voice skills filedocumentdocdeckspreadsheetfilePPTPowerPoint']
GREETINGS	goodbye	['Bye', 'Goodbye']
GREETINGS	thanks	['thank you', 'thanks']
VisionEnrollment	vision_start_enrollment	['Let me introduce myself', 'enroll my face', 'learn what i look like']
