text	domain	intent	target
play 94 wip.	MEDIACONTROL	play_media	media control. play media
how much time is left on timer?	ALARM	time_remaining	alarm. time remaining
set volume 20%.	MEDIACONTROL	set_volume	media control. set volume
turn off basement lights.	HOMEAUTOMATION	turn_off	home automation. turn off
play relevant radio.	MEDIACONTROL	play_media	media control. play media
play bohemian rhapsody.	MEDIACONTROL	play_media	media control. play media
stop cortana stop.	COMMON	stop	common. stop
play This American Life.	MEDIACONTROL	play_media	media control. play media
turn on my bedroom lights.	HOMEAUTOMATION	turn_on	home automation. turn on
set alarm for 6:20 AM.	ALARM	set_alarm	alarm. set alarm
play amy winehouse.	MEDIACONTROL	play_media	media control. play media
set a timer for 50 minutes.	ALARM	set_timer	alarm. set timer
phone number.	OTHER	other	other. other
play edm.	MEDIACONTROL	play_media	media control. play media
turn off tv.	HOMEAUTOMATION	turn_off	home automation. turn off
set a timer for 2 and a half minutes.	ALARM	set_timer	alarm. set timer
tell me the time.	OTHER	other	other. other
play some kids music.	MEDIACONTROL	play_media	media control. play media
play 102.5 wdve rocks.	MEDIACONTROL	play_media	media control. play media
turn off master bedroom light.	HOMEAUTOMATION	turn_off	home automation. turn off
living room light off.	HOMEAUTOMATION	turn_off	home automation. turn off
do you like?	OTHER	other	other. other
play stairway to heaven.	MEDIACONTROL	play_media	media control. play media
send.	OTHER	other	other. other
turn on the bathroom.	HOMEAUTOMATION	turn_on	home automation. turn on
play I'm still standing.	MEDIACONTROL	play_media	media control. play media
lower down the volume.	MEDIACONTROL	volume_down	media control. volume down
launch.	ONDEVICE	open_application	on device. open application
how much time on timer?	ALARM	time_remaining	alarm. time remaining
play new rules by dua lipa.	MEDIACONTROL	play_media	media control. play media
set alarm for 7:45.	ALARM	set_alarm	alarm. set alarm
play previous track.	MEDIACONTROL	skip_back	media control. skip back
disconnect from bluetooth.	ONDEVICE	open_setting	on device. open setting
what's the temp outside?	WEATHER	weather_default	weather. weather default
activate Bluetooth.	ONDEVICE	turn_on_setting	on device. turn on setting
play i want a hippopotamus for christmas.	MEDIACONTROL	play_media	media control. play media
what is it?	OTHER	other	other. other
play Star Wars.	MEDIACONTROL	play_media	media control. play media
tell me about yourself.	OTHER	other	other. other
what's tomorrow's weather forecast?	WEATHER	weather_default	weather. weather default
previous track.	MEDIACONTROL	skip_back	media control. skip back
turn the volume to 50%.	MEDIACONTROL	set_volume	media control. set volume
app.	OTHER	other	other. other
can you play the cbs oldies music station?	MEDIACONTROL	play_media	media control. play media
what is the weather like outside?	WEATHER	weather_default	weather. weather default
play wksu 3.	MEDIACONTROL	play_media	media control. play media
tell me something i don't know.	OTHER	other	other. other
turn the TV off.	HOMEAUTOMATION	turn_off	home automation. turn off
what's next on my calendar?	CALENDAR	find_calendar_entry	calendar. find calendar entry
play music by Hillsong.	MEDIACONTROL	play_media	media control. play media
help.	COMMON	help	common. help
play Alan Jackson.	MEDIACONTROL	play_media	media control. play media
play dire straits.	MEDIACONTROL	play_media	media control. play media
what's going on today?	CALENDAR	find_calendar_entry	calendar. find calendar entry
turn up the heat.	HOMEAUTOMATION	turn_up	home automation. turn up
how many minutes left on my timer?	ALARM	time_remaining	alarm. time remaining
turn up the kitchen light.	HOMEAUTOMATION	turn_up	home automation. turn up
play Wiz Khalifa.	MEDIACONTROL	play_media	media control. play media
can you turn it down?	MEDIACONTROL	volume_down	media control. volume down
play my country playlist.	MEDIACONTROL	play_media	media control. play media
play Mannheim Steamroller.	MEDIACONTROL	play_media	media control. play media
Tomorrow's weather.	WEATHER	weather_default	weather. weather default
turn off the basement lights.	HOMEAUTOMATION	turn_off	home automation. turn off
set the alarm for 5 AM.	ALARM	set_alarm	alarm. set alarm
what's the outside temperature right now?	WEATHER	weather_default	weather. weather default
play daily mix 3.	MEDIACONTROL	play_media	media control. play media
play classical music on Spotify.	MEDIACONTROL	play_media	media control. play media
turn off rear.	HOMEAUTOMATION	turn_off	home automation. turn off
play christian hip hop.	MEDIACONTROL	play_media	media control. play media
play peaceful music.	MEDIACONTROL	play_media	media control. play media
play look what you made me do by Taylor Swift.	MEDIACONTROL	play_media	media control. play media
turn on the Den light.	HOMEAUTOMATION	turn_on	home automation. turn on
set volume 50%.	MEDIACONTROL	set_volume	media control. set volume
turn on the basement light.	HOMEAUTOMATION	turn_on	home automation. turn on
play a different song.	MEDIACONTROL	play_media	media control. play media
set alarm for 7.	ALARM	set_alarm	alarm. set alarm
turn on the christmas lights.	HOMEAUTOMATION	turn_on	home automation. turn on
play Kings Of Leon.	MEDIACONTROL	play_media	media control. play media
add butter to my grocery list.	NOTE	add_to_note	note. add to note
play the current on iheartradio.	MEDIACONTROL	play_media	media control. play media
what are today's top headlines?	OTHER	other	other. other
walmart.	OTHER	other	other. other
you're a b****.	OTHER	other	other. other
play some rock.	MEDIACONTROL	play_media	media control. play media
bluetooth pair.	ONDEVICE	turn_on_setting	on device. turn on setting
put on some music.	MEDIACONTROL	play_media	media control. play media
unsnap.	OTHER	other	other. other
what is the outside temperature?	WEATHER	weather_default	weather. weather default
play how long.	MEDIACONTROL	play_media	media control. play media
turn on peter office light.	HOMEAUTOMATION	turn_on	home automation. turn on
what's the weather in fahrenheit?	WEATHER	weather_default	weather. weather default
set an alarm for 2 pm.	ALARM	set_alarm	alarm. set alarm
how much is bitcoin?	OTHER	other	other. other
please play Christmas music.	MEDIACONTROL	play_media	media control. play media
stop my alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
today's news.	OTHER	other	other. other
play RapCaviar.	MEDIACONTROL	play_media	media control. play media
play tennessee whiskey.	MEDIACONTROL	play_media	media control. play media
play let you down.	MEDIACONTROL	play_media	media control. play media
continue on Spotify.	MEDIACONTROL	resume	media control. resume
play dubstep.	MEDIACONTROL	play_media	media control. play media
play KSBJ.	MEDIACONTROL	play_media	media control. play media
please pause.	MEDIACONTROL	pause	media control. pause
dial.	COMMUNICATION	make_call	communication. make call
can you turn the volume down?	MEDIACONTROL	volume_down	media control. volume down
play some bob marley.	MEDIACONTROL	play_media	media control. play media
play some migos.	MEDIACONTROL	play_media	media control. play media
play wxtk.	MEDIACONTROL	play_media	media control. play media
set an alarm for 8:15 AM.	ALARM	set_alarm	alarm. set alarm
hey cortana shut up.	COMMON	stop	common. stop
play the 1975.	MEDIACONTROL	play_media	media control. play media
where is master chief?	OTHER	other	other. other
yes thank you.	OTHER	other	other. other
play the nutcracker.	MEDIACONTROL	play_media	media control. play media
how many teaspoons in a tablespoon?	OTHER	other	other. other
increase volume by 10%.	MEDIACONTROL	volume_up	media control. volume up
play last Christmas.	MEDIACONTROL	play_media	media control. play media
silence.	OTHER	other	other. other
turn off alyssa light.	HOMEAUTOMATION	turn_off	home automation. turn off
connect to the internet.	OTHER	other	other. other
play Moody blues.	MEDIACONTROL	play_media	media control. play media
play something on spotify.	MEDIACONTROL	play_media	media control. play media
set a timer for 10 minutes please.	ALARM	set_timer	alarm. set timer
hawaii.	OTHER	other	other. other
what's the weather going to be today?	WEATHER	weather_default	weather. weather default
are you listening to me?	ONDEVICE	are_you_listening	on device. are you listening
play Gucci Mane.	MEDIACONTROL	play_media	media control. play media
what time is it in south korea?	OTHER	other	other. other
what is my day look like?	CALENDAR	find_calendar_entry	calendar. find calendar entry
play Paramore.	MEDIACONTROL	play_media	media control. play media
where's my package?	OTHER	other	other. other
play some dave matthews.	MEDIACONTROL	play_media	media control. play media
balance.	OTHER	other	other. other
play lil wayne.	MEDIACONTROL	play_media	media control. play media
who will win the superbowl?	OTHER	other	other. other
how many minutes are left on the timer?	ALARM	time_remaining	alarm. time remaining
set alarm 6 AM.	ALARM	set_alarm	alarm. set alarm
play some johnny cash.	MEDIACONTROL	play_media	media control. play media
turn off rick's light.	HOMEAUTOMATION	turn_off	home automation. turn off
play smile fm radio.	MEDIACONTROL	play_media	media control. play media
play keith sweat.	MEDIACONTROL	play_media	media control. play media
how do you spell?	OTHERSKILL	otherskill_default	other skill. otherskill default
play 101.5.	MEDIACONTROL	play_media	media control. play media
give me a fact about a kid inventor.	OTHER	other	other. other
define.	OTHER	other	other. other
play alison krauss.	MEDIACONTROL	play_media	media control. play media
play ks 95.	MEDIACONTROL	play_media	media control. play media
set alarm for 9 o'clock.	ALARM	set_alarm	alarm. set alarm
play my spotify music.	MEDIACONTROL	play_media	media control. play media
who's going to win the superbowl?	OTHER	other	other. other
play Above and Beyond.	MEDIACONTROL	play_media	media control. play media
ask a question.	OTHER	other	other. other
set an alarm for 3:30 AM.	ALARM	set_alarm	alarm. set alarm
you're stupid.	OTHER	other	other. other
continue playing the music.	MEDIACONTROL	resume	media control. resume
what's the high today?	WEATHER	weather_default	weather. weather default
play los bukis.	MEDIACONTROL	play_media	media control. play media
say something funny.	OTHER	other	other. other
Music on.	MEDIACONTROL	play_media	media control. play media
volume at 20%.	MEDIACONTROL	set_volume	media control. set volume
down.	OTHER	other	other. other
play The Smiths.	MEDIACONTROL	play_media	media control. play media
timer 2 minutes.	ALARM	set_timer	alarm. set timer
set an alarm for 3 pm.	ALARM	set_alarm	alarm. set alarm
stop the timer please.	ALARM	turn_off_timer	alarm. turn off timer
play glorious.	MEDIACONTROL	play_media	media control. play media
turn it up a little bit.	MEDIACONTROL	volume_up	media control. volume up
turn off the island lights.	HOMEAUTOMATION	turn_off	home automation. turn off
alexa what's the weather.	OTHERSKILL	otherskill_default	other skill. otherskill default
yeah yeah.	OTHER	other	other. other
play Roy Orbison.	MEDIACONTROL	play_media	media control. play media
play new year's music.	MEDIACONTROL	play_media	media control. play media
set alarm for 4:30.	ALARM	set_alarm	alarm. set alarm
turn the xbox on.	ONDEVICE	open_application	on device. open application
play darius rucker.	MEDIACONTROL	play_media	media control. play media
stop my music.	MEDIACONTROL	stop	media control. stop
what is today's weather forecast?	WEATHER	weather_default	weather. weather default
play some jack johnson.	MEDIACONTROL	play_media	media control. play media
play Chance the Rapper.	MEDIACONTROL	play_media	media control. play media
play Nightstorms.	MEDIACONTROL	play_media	media control. play media
play we will rock you.	MEDIACONTROL	play_media	media control. play media
play shut up and dance.	MEDIACONTROL	play_media	media control. play media
shut down my computer.	ONDEVICE	power_off	on device. power off
play whur.	MEDIACONTROL	play_media	media control. play media
set alarm for 3 AM.	ALARM	set_alarm	alarm. set alarm
turn off julian bedroom.	HOMEAUTOMATION	turn_off	home automation. turn off
first.	OTHER	other	other. other
play hindi songs.	MEDIACONTROL	play_media	media control. play media
wake me up in 2 hours.	ALARM	set_alarm	alarm. set alarm
turn the living room light on.	HOMEAUTOMATION	turn_on	home automation. turn on
what is playing?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
what's news?	OTHER	other	other. other
turn on the office lights.	HOMEAUTOMATION	turn_on	home automation. turn on
play Careless Whisper.	MEDIACONTROL	play_media	media control. play media
turn up kitchen.	HOMEAUTOMATION	turn_up	home automation. turn up
living room lights off.	HOMEAUTOMATION	turn_off	home automation. turn off
play talking heads.	MEDIACONTROL	play_media	media control. play media
play black sabbath.	MEDIACONTROL	play_media	media control. play media
volume 15%.	MEDIACONTROL	set_volume	media control. set volume
play yo yo MA.	MEDIACONTROL	play_media	media control. play media
play KEXP on iheartradio.	MEDIACONTROL	play_media	media control. play media
turn on relax in living room.	HOMEAUTOMATION	turn_on	home automation. turn on
play baby lullaby's.	MEDIACONTROL	play_media	media control. play media
play love by kendrick lamar.	MEDIACONTROL	play_media	media control. play media
play rage against the machine.	MEDIACONTROL	play_media	media control. play media
play some nickelback.	MEDIACONTROL	play_media	media control. play media
play breaking benjamin.	MEDIACONTROL	play_media	media control. play media
how do you say hello in chinese?	OTHERSKILL	otherskill_default	other skill. otherskill default
play soft rock music.	MEDIACONTROL	play_media	media control. play media
got it.	OTHER	other	other. other
play houston public media.	MEDIACONTROL	play_media	media control. play media
wake me up at 7:20 AM.	ALARM	set_alarm	alarm. set alarm
wake me up at 6:30 in the morning.	ALARM	set_alarm	alarm. set alarm
what's the high for today?	WEATHER	weather_default	weather. weather default
who is this singing?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
play 93 xrt.	MEDIACONTROL	play_media	media control. play media
set volume to 5%.	MEDIACONTROL	set_volume	media control. set volume
i mean.	OTHER	other	other. other
play 90s hip hop.	MEDIACONTROL	play_media	media control. play media
what's the weather going to be tomorrow?	WEATHER	weather_default	weather. weather default
play Russian music.	MEDIACONTROL	play_media	media control. play media
what is the news today?	OTHER	other	other. other
turn it off please.	ONDEVICE	power_off	on device. power off
set alarm for 6 AM tomorrow.	ALARM	set_alarm	alarm. set alarm
play some billy joel.	MEDIACONTROL	play_media	media control. play media
can you turn off the music?	MEDIACONTROL	stop	media control. stop
replay last song.	MEDIACONTROL	repeat	media control. repeat
hey cortana good morning.	OTHER	other	other. other
Living room lights on.	HOMEAUTOMATION	turn_on	home automation. turn on
play Al Green.	MEDIACONTROL	play_media	media control. play media
what's the weather like this week?	WEATHER	weather_default	weather. weather default
what's the weather out right now?	WEATHER	weather_default	weather. weather default
name.	OTHER	other	other. other
set timer for 17 minutes.	ALARM	set_timer	alarm. set timer
is it gonna rain in ventura?	WEATHER	weather_default	weather. weather default
how many ounces in a cup?	OTHER	other	other. other
open cat facts.	OTHER	other	other. other
cortana hey cortana.	OTHERSKILL	otherskill_default	other skill. otherskill default
turn on master bedroom lights.	HOMEAUTOMATION	turn_on	home automation. turn on
how cold is it gonna get tonight?	WEATHER	weather_default	weather. weather default
traffic.	OTHER	other	other. other
check for updates.	ONDEVICE	open_setting	on device. open setting
set the volume to 20%.	MEDIACONTROL	set_volume	media control. set volume
how much longer on my timer?	ALARM	time_remaining	alarm. time remaining
play zz top.	MEDIACONTROL	play_media	media control. play media
play chucks list.	MEDIACONTROL	play_media	media control. play media
play michael w smith.	MEDIACONTROL	play_media	media control. play media
play the cran berries.	MEDIACONTROL	play_media	media control. play media
play kid rock.	MEDIACONTROL	play_media	media control. play media
play some spa music.	MEDIACONTROL	play_media	media control. play media
play the frozen soundtrack.	MEDIACONTROL	play_media	media control. play media
play the middle by zedd.	MEDIACONTROL	play_media	media control. play media
what is the news?	OTHER	other	other. other
wake me at 7.	ALARM	set_alarm	alarm. set alarm
what time is it in india?	OTHER	other	other. other
set an alarm for 25 minutes.	ALARM	set_alarm	alarm. set alarm
go f*** yourself.	OTHER	other	other. other
play acoustic music.	MEDIACONTROL	play_media	media control. play media
wake me up in 7 hours.	ALARM	set_alarm	alarm. set alarm
turn off my xbox.	ONDEVICE	power_off	on device. power off
stop playing the radio.	MEDIACONTROL	stop	media control. stop
play Broadway music.	MEDIACONTROL	play_media	media control. play media
turn up the living room lights.	HOMEAUTOMATION	turn_up	home automation. turn up
weather report.	WEATHER	weather_default	weather. weather default
play 94.1 on iheartradio.	MEDIACONTROL	play_media	media control. play media
turn on master bedroom light.	HOMEAUTOMATION	turn_on	home automation. turn on
play 7 nation army.	MEDIACONTROL	play_media	media control. play media
decrease the volume.	MEDIACONTROL	volume_down	media control. volume down
set an alarm for 45 minutes from now.	ALARM	set_alarm	alarm. set alarm
play nat king cole.	MEDIACONTROL	play_media	media control. play media
hey alexa.	OTHER	other	other. other
play praying by kesha.	MEDIACONTROL	play_media	media control. play media
play 90s r&b.	MEDIACONTROL	play_media	media control. play media
play tony bennett.	MEDIACONTROL	play_media	media control. play media
play frozen soundtrack.	MEDIACONTROL	play_media	media control. play media
volume 80%.	MEDIACONTROL	set_volume	media control. set volume
play j balvin.	MEDIACONTROL	play_media	media control. play media
play dominick the donkey.	MEDIACONTROL	play_media	media control. play media
play a lullaby.	MEDIACONTROL	play_media	media control. play media
turn it up a little.	MEDIACONTROL	volume_up	media control. volume up
hey cortana turn off the lights.	HOMEAUTOMATION	turn_off	home automation. turn off
play coffee house music.	MEDIACONTROL	play_media	media control. play media
play whky.	MEDIACONTROL	play_media	media control. play media
stop talking.	COMMON	stop	common. stop
play Korn.	MEDIACONTROL	play_media	media control. play media
play favorite hymns.	MEDIACONTROL	play_media	media control. play media
play closing time.	MEDIACONTROL	play_media	media control. play media
set an alarm for 3 AM.	ALARM	set_alarm	alarm. set alarm
ya.	OTHER	other	other. other
turn on the reading light.	HOMEAUTOMATION	turn_on	home automation. turn on
play Selena.	MEDIACONTROL	play_media	media control. play media
play celtic music.	MEDIACONTROL	play_media	media control. play media
turn off all my alarms.	ALARM	turn_off_alarm	alarm. turn off alarm
what's it like outside?	WEATHER	weather_default	weather. weather default
increase volume by 20%.	MEDIACONTROL	volume_up	media control. volume up
play whatever it takes.	MEDIACONTROL	play_media	media control. play media
tell me a good joke.	OTHER	other	other. other
play the next song please.	MEDIACONTROL	skip_forward	media control. skip forward
play my daily mix 1.	MEDIACONTROL	play_media	media control. play media
set an alarm for 12:30.	ALARM	set_alarm	alarm. set alarm
set alarm for 2 pm.	ALARM	set_alarm	alarm. set alarm
play some journey.	MEDIACONTROL	play_media	media control. play media
play classical classical guitar.	MEDIACONTROL	play_media	media control. play media
open YouTube.	ONDEVICE	open_application	on device. open application
play radio paradise on tunein.	MEDIACONTROL	play_media	media control. play media
play the duck song.	MEDIACONTROL	play_media	media control. play media
can you play some jazz music?	MEDIACONTROL	play_media	media control. play media
play 90s alternative rock.	MEDIACONTROL	play_media	media control. play media
turn on the lights in the kitchen.	HOMEAUTOMATION	turn_on	home automation. turn on
play hootie and the blowfish.	MEDIACONTROL	play_media	media control. play media
increase the volume by 10%.	MEDIACONTROL	volume_up	media control. volume up
play joni mitchell.	MEDIACONTROL	play_media	media control. play media
play lounge music.	MEDIACONTROL	play_media	media control. play media
play motor sport.	MEDIACONTROL	play_media	media control. play media
how do you say thank you in chinese?	OTHERSKILL	otherskill_default	other skill. otherskill default
what's the weather forecast for tonight?	WEATHER	weather_default	weather. weather default
play matthew west.	MEDIACONTROL	play_media	media control. play media
play vitamin string quartet.	MEDIACONTROL	play_media	media control. play media
answer the phone.	COMMUNICATION	answer_phone	communication. answer phone
play kate bush.	MEDIACONTROL	play_media	media control. play media
play caravan palace.	MEDIACONTROL	play_media	media control. play media
living room off.	HOMEAUTOMATION	turn_off	home automation. turn off
you awake.	OTHER	other	other. other
play bread.	MEDIACONTROL	play_media	media control. play media
turn on the dining room light.	HOMEAUTOMATION	turn_on	home automation. turn on
resume music please.	MEDIACONTROL	resume	media control. resume
play the avett brothers.	MEDIACONTROL	play_media	media control. play media
play songs by florida georgia line.	MEDIACONTROL	play_media	media control. play media
play the carpenters.	MEDIACONTROL	play_media	media control. play media
play wnpr.	MEDIACONTROL	play_media	media control. play media
turn off dining room lights.	HOMEAUTOMATION	turn_off	home automation. turn off
play Tim McGraw.	MEDIACONTROL	play_media	media control. play media
set timer for 14 minutes.	ALARM	set_timer	alarm. set timer
Current weather.	WEATHER	weather_default	weather. weather default
play some light music.	MEDIACONTROL	play_media	media control. play media
play eddy arnold.	MEDIACONTROL	play_media	media control. play media
play the big broadcast playlist on spotify.	MEDIACONTROL	play_media	media control. play media
what's the score of the eagles game?	OTHER	other	other. other
play wben.	MEDIACONTROL	play_media	media control. play media
what is tomorrow's weather?	WEATHER	weather_default	weather. weather default
where is my timer?	ALARM	find_timer	alarm. find timer
how are you this morning?	OTHER	other	other. other
play eye of the Tiger.	MEDIACONTROL	play_media	media control. play media
play Christmas jazz music.	MEDIACONTROL	play_media	media control. play media
set alarm for 7:15 AM.	ALARM	set_alarm	alarm. set alarm
how much wood could a woodchuck chuck if a woodchuck could chuck wood?	OTHER	other	other. other
play shut up and dance with me.	MEDIACONTROL	play_media	media control. play media
set alarm for 5:50 AM.	ALARM	set_alarm	alarm. set alarm
play zac brown.	MEDIACONTROL	play_media	media control. play media
you can stop the music.	MEDIACONTROL	stop	media control. stop
play we are the Champions.	MEDIACONTROL	play_media	media control. play media
are you better than alexa?	OTHER	other	other. other
play sounds of the ocean.	MEDIACONTROL	play_media	media control. play media
wake me up at 6:15 AM.	ALARM	set_alarm	alarm. set alarm
play Childish Gambino.	MEDIACONTROL	play_media	media control. play media
how much left on the timer?	ALARM	time_remaining	alarm. time remaining
play jill scott.	MEDIACONTROL	play_media	media control. play media
play glorious by macklemore.	MEDIACONTROL	play_media	media control. play media
play monster magnet.	MEDIACONTROL	play_media	media control. play media
play todays hits on tunein.	MEDIACONTROL	play_media	media control. play media
what playlist is this?	MEDIACONTROL	recognize_currently_playing	media control. recognize currently playing
play calming music.	MEDIACONTROL	play_media	media control. play media
play toad the wet sprocket.	MEDIACONTROL	play_media	media control. play media
play christian christmas music.	MEDIACONTROL	play_media	media control. play media
set an alarm for 9:15.	ALARM	set_alarm	alarm. set alarm
play super simple songs.	MEDIACONTROL	play_media	media control. play media
play frank sinatra music.	MEDIACONTROL	play_media	media control. play media
play music by miranda lambert.	MEDIACONTROL	play_media	media control. play media
start a timer.	ALARM	set_timer	alarm. set timer
play Weird Al Yankovic.	MEDIACONTROL	play_media	media control. play media
play wtaq.	MEDIACONTROL	play_media	media control. play media
play rudolph the red nosed reindeer.	MEDIACONTROL	play_media	media control. play media
call kirk.	COMMUNICATION	make_call	communication. make call
update.	OTHER	other	other. other
play bedtime music.	MEDIACONTROL	play_media	media control. play media
play let me go.	MEDIACONTROL	play_media	media control. play media
give me some news.	OTHER	other	other. other
wake me up at 5:45.	ALARM	set_alarm	alarm. set alarm
wake me up at 7:40.	ALARM	set_alarm	alarm. set alarm
:).	OTHER	other	other. other
play matchbox 20.	MEDIACONTROL	play_media	media control. play media
set volume to 70%.	MEDIACONTROL	set_volume	media control. set volume
add eggs to my shopping list.	NOTE	add_to_note	note. add to note
play some Pink Floyd.	MEDIACONTROL	play_media	media control. play media
play acoustic covers.	MEDIACONTROL	play_media	media control. play media
xbox one.	OTHER	other	other. other
can you play some country music?	MEDIACONTROL	play_media	media control. play media
i'm leaving.	OTHER	other	other. other
turn the bedroom light on.	HOMEAUTOMATION	turn_on	home automation. turn on
play Ed Sheeran radio.	MEDIACONTROL	play_media	media control. play media
turn off the desk light.	HOMEAUTOMATION	turn_off	home automation. turn off
turn on basement lights.	HOMEAUTOMATION	turn_on	home automation. turn on
when is my birthday?	OTHER	other	other. other
play ric flair drip.	MEDIACONTROL	play_media	media control. play media
start a 5 minute timer.	ALARM	set_timer	alarm. set timer
play spotify playlist.	MEDIACONTROL	play_media	media control. play media
when is sunset?	OTHER	other	other. other
play The Who.	MEDIACONTROL	play_media	media control. play media
what's this?	OTHER	other	other. other
turn off the hallway.	HOMEAUTOMATION	turn_off	home automation. turn off
play deck the halls by pentatonix.	MEDIACONTROL	play_media	media control. play media
play r kelly.	MEDIACONTROL	play_media	media control. play media
play preschool music.	MEDIACONTROL	play_media	media control. play media
play tom jones.	MEDIACONTROL	play_media	media control. play media
you can turn off.	OTHER	other	other. other
f*** ***.	OTHER	other	other. other
set alarm for 5:45.	ALARM	set_alarm	alarm. set alarm
play 50 Cent.	MEDIACONTROL	play_media	media control. play media
play the goo goo dolls.	MEDIACONTROL	play_media	media control. play media
play take on me.	MEDIACONTROL	play_media	media control. play media
play the final countdown.	MEDIACONTROL	play_media	media control. play media
stop song.	MEDIACONTROL	stop	media control. stop
play my.	MEDIACONTROL	play_media	media control. play media
play white Christmas.	MEDIACONTROL	play_media	media control. play media
play Styx.	MEDIACONTROL	play_media	media control. play media
when's my next alarm?	ALARM	find_alarm	alarm. find alarm
put on Christmas music.	MEDIACONTROL	play_media	media control. play media
play 93.1.	MEDIACONTROL	play_media	media control. play media
play i fall apart by post malone.	MEDIACONTROL	play_media	media control. play media
what's the low temperature tonight?	WEATHER	weather_default	weather. weather default
play lil skies.	MEDIACONTROL	play_media	media control. play media
start a timer for 30 minutes.	ALARM	set_timer	alarm. set timer
play me some 80s music.	MEDIACONTROL	play_media	media control. play media
play some chinese music.	MEDIACONTROL	play_media	media control. play media
and i'm here to help.	OTHER	other	other. other
lower music.	MEDIACONTROL	volume_down	media control. volume down
what time is?	OTHER	other	other. other
play stir fry.	MEDIACONTROL	play_media	media control. play media
play Bastille.	MEDIACONTROL	play_media	media control. play media
turn off the desk lamp.	HOMEAUTOMATION	turn_off	home automation. turn off
tell me the latest news.	MEDIACONTROL	play_media	media control. play media
can you beat box?	OTHER	other	other. other
play 710 knus.	MEDIACONTROL	play_media	media control. play media
play vance joy.	MEDIACONTROL	play_media	media control. play media
turn the volume down a little bit.	MEDIACONTROL	volume_down	media control. volume down
set an alarm for noon.	ALARM	set_alarm	alarm. set alarm
play bluegrass music.	MEDIACONTROL	play_media	media control. play media
play brahms.	MEDIACONTROL	play_media	media control. play media
give me the latest news.	OTHER	other	other. other
but.	OTHER	other	other. other
which?	OTHER	other	other. other
play chicago public radio.	MEDIACONTROL	play_media	media control. play media
add cheese to my shopping list.	NOTE	add_to_note	note. add to note
set an alarm for 6:30 AM tomorrow.	ALARM	set_alarm	alarm. set alarm
can you lower the volume?	MEDIACONTROL	volume_down	media control. volume down
play Miguel.	MEDIACONTROL	play_media	media control. play media
play my favorites playlist.	MEDIACONTROL	play_media	media control. play media
play some rap.	MEDIACONTROL	play_media	media control. play media
set alarm for 4:05 am.	ALARM	set_alarm	alarm. set alarm
play shania twain.	MEDIACONTROL	play_media	media control. play media
play minnesota public radio.	MEDIACONTROL	play_media	media control. play media
play wamu radio.	MEDIACONTROL	play_media	media control. play media
play i'm a gummy bear.	MEDIACONTROL	play_media	media control. play media
what's my daily update?	COMMUNICATION	get_notifications	communication. get notifications
hey lexa.	OTHER	other	other. other
play Julio Iglesias.	MEDIACONTROL	play_media	media control. play media
play back.	MEDIACONTROL	skip_back	media control. skip back
will you doing?	OTHER	other	other. other
Windows.	ONDEVICE	open_application	on device. open application
turn it down a bit.	MEDIACONTROL	volume_down	media control. volume down
play biggie smalls.	MEDIACONTROL	play_media	media control. play media
play reputation by taylor swift.	MEDIACONTROL	play_media	media control. play media
can you play bruno mars?	MEDIACONTROL	play_media	media control. play media
what's the weather for the week?	WEATHER	weather_default	weather. weather default
add bread to the grocery list.	NOTE	add_to_note	note. add to note
i know.	OTHER	other	other. other
turn on my desk lamp.	HOMEAUTOMATION	turn_on	home automation. turn on
play some classical Christmas music.	MEDIACONTROL	play_media	media control. play media
what does?	OTHER	other	other. other
play america.	MEDIACONTROL	play_media	media control. play media
play lord huron.	MEDIACONTROL	play_media	media control. play media
turn on my office light.	HOMEAUTOMATION	turn_on	home automation. turn on
turn the bedroom light off.	HOMEAUTOMATION	turn_off	home automation. turn off
turn off the patio light.	HOMEAUTOMATION	turn_off	home automation. turn off
play my song.	MEDIACONTROL	play_media	media control. play media
play roar by Katy Perry.	MEDIACONTROL	play_media	media control. play media
play gummy bear.	MEDIACONTROL	play_media	media control. play media
set alarm for 8.	ALARM	set_alarm	alarm. set alarm
play cage the elephant.	MEDIACONTROL	play_media	media control. play media
picture.	OTHER	other	other. other
play luis miguel.	MEDIACONTROL	play_media	media control. play media
the weather today.	WEATHER	weather_default	weather. weather default
turn off breakfast room floor lamp.	HOMEAUTOMATION	turn_off	home automation. turn off
play some Fleetwood Mac.	MEDIACONTROL	play_media	media control. play media
turn off that alarm.	ALARM	turn_off_alarm	alarm. turn off alarm
are you spying on me?	OTHER	other	other. other
turn off master bedroom lights.	HOMEAUTOMATION	turn_off	home automation. turn off
set an alarm for 6:10 AM.	ALARM	set_alarm	alarm. set alarm
play tool.	MEDIACONTROL	play_media	media control. play media
what's the weather in seattle?	WEATHER	weather_default	weather. weather default
weather for tomorrow.	WEATHER	weather_default	weather. weather default
play sam levine sax in the city.	MEDIACONTROL	play_media	media control. play media
change this song.	MEDIACONTROL	skip_forward	media control. skip forward
what's my schedule for today?	CALENDAR	find_calendar_entry	calendar. find calendar entry
play classic christmas.	MEDIACONTROL	play_media	media control. play media
play wcbs newsradio 880 on tunein.	MEDIACONTROL	play_media	media control. play media
set a timer for half an hour.	ALARM	set_timer	alarm. set timer
